shape_num_regions,shape_region_size_mean,shape_region_size_std,shape_region_size_max,shape_region_size_min,shape_centroid_x,shape_centroid_y,shape_tumor_area_ratio,shape_tumor_area,shape_perimeter,shape_circularity,shape_solidity,intensity_intensity_mean,intensity_intensity_std,intensity_intensity_max,intensity_intensity_min,intensity_intensity_median,intensity_intensity_range,intensity_intensity_iqr,intensity_intensity_energy,intensity_intensity_entropy,intensity_intensity_skewness,intensity_intensity_kurtosis,intensity_intensity_variance,intensity_intensity_sum,intensity_intensity_q1,intensity_intensity_q3,intensity_intensity_rmse,texture_contrast,texture_dissimilarity,texture_homogeneity,texture_asm,texture_energy,texture_correlation,texture_lbp_mean,texture_lbp_std,texture_lbp_hist_entropy
3,11003.333333333334,8184.9875721075805,19645,13,0.6059702293840672,0.5492105974802749,0.5036926269454393,33010,2263.5646990537643,0.08095982553607424,0.6698525756010135,0.6291249,0.1506662,1.0,0.3852459,0.6106557,0.6147541,0.22131151,13814.634,4.8881364711252,0.40915215,-0.78552675,0.022700308,20767.412,0.5081967,0.7295082,0.64691454,41.66784103579643,2.8399182823664195,0.6594820654737386,0.002571724550306743,0.05071217359083263,0.9857087487388246,4.128870039382005,1.2613590144116273,1.3722647121612832
1,29736.0,0.0,29736,29736,0.5161580764897767,0.545534952372545,0.4537353515555766,29736,728.582822561264,0.7039382373255874,0.9453505006852535,0.5372382,0.16178784,1.0,0.2576419,0.5152838,0.7423581,0.22707424,9360.897,4.934460204086314,0.45668116,-0.5466652,0.026175303,15975.314,0.41484717,0.6419214,0.56107056,52.8150320771145,3.069370366900781,0.6537681178990246,0.002551783444572835,0.05051518033792253,0.9843476784090313,4.307606941081517,1.4316707621883822,1.5550245146210244
9,3782.6666666666665,8809.097090823527,28413,1,0.48103847160630697,0.5107884155140253,0.5194702148358236,34044,1062.0874339342117,0.37925376842987873,1.0551207946241303,0.72196114,0.16768491,1.0,0.4347826,0.71936756,0.5652174,0.30434787,18701.941,4.9547089570754395,-0.030633288,-1.2939254,0.02811823,24578.445,0.5731225,0.8774704,0.74117893,50.7357184974603,3.3808475221257406,0.6485615256046485,0.0023549937625092694,0.04852827796768879,0.9857392985550915,4.175743155915874,1.4352791033101806,1.52775627340982
13,2449.230769230769,7595.260953169783,28617,1,0.4965583995090331,0.46342741530384035,0.4858398437425867,31840,999.6610285043716,0.40038463231121313,0.8834873331423323,0.57544214,0.15310284,1.0,0.3360324,0.5668016,0.6639676,0.23886642,11289.641,4.926739705115306,0.3324376,-0.73137736,0.023440482,18322.078,0.44534412,0.68421054,0.5954613,90.04252702781869,4.095578019418263,0.6243360244999353,0.002321787783102507,0.04818493315448831,0.9700733475279741,4.062971105527638,1.3083221126394642,1.4337418497013346
3,12103.0,17114.812531839198,36307,1,0.5125164181493926,0.5991385097915003,0.5540313720618587,36309,1113.3178832530975,0.3681169216495483,0.863348868155237,0.54447865,0.1423576,1.0,0.33816424,0.5120773,0.6618358,0.18357486,11499.882,4.635440992992766,0.886398,0.18452048,0.020265685,19769.475,0.43961352,0.6231884,0.56278116,51.68083655656582,2.8561628586337338,0.6698859799611928,0.0038586265958752987,0.06211784442392781,0.980241963150168,4.345479082321187,1.5336908840681076,1.6427212891787462
1,30433.0,0.0,30433,30433,0.4960080083708474,0.4658750883087438,0.46437072753197683,30433,846.4234435558319,0.5338008522472215,0.9534446567576226,0.6792877,0.1488308,1.0,0.33870968,0.6895161,0.6612903,0.22177422,14716.862,4.969204003470373,-0.21543114,-0.71324253,0.022150606,20672.762,0.57258064,0.79435486,0.6954009,95.88522545068913,3.6502073591556092,0.6469674496755516,0.002341041634472659,0.048384311863171714,0.9665157208182292,4.3257319357276645,1.556924545819062,1.6226611508718367
3,12328.666666666666,17392.237585262636,36925,17,0.5069560341909276,0.4669162576167908,0.5643615722570136,36986,1149.8031653165817,0.35156062636527285,0.8469526786235942,0.57101053,0.12309398,1.0,0.3640553,0.55760366,0.6359447,0.15668204,12619.815,4.613972845909893,0.66974336,0.21202374,0.015152127,21119.396,0.47926268,0.6359447,0.5841277,37.497047364927234,2.652183719481565,0.6741765739397402,0.0039581622617524195,0.06291392740683432,0.980724334210353,4.370031903963662,1.6098852367105587,1.7076593968637679
1,32780.0,0.0,32780,32780,0.49473931322452713,0.5398867687995729,0.5001831054611179,32780,794.9259676933289,0.6518766796578003,0.9085995426260522,0.57259667,0.15806668,1.0,0.3106383,0.55744684,0.6893617,0.21702126,11566.49,4.9308044109340825,0.4510256,-0.503742,0.024985075,18769.719,0.45106384,0.6680851,0.5940135,45.647253321499385,3.033033956669591,0.6507065273894733,0.002490380137124563,0.04990370865100672,0.9857995889564807,4.25967053081147,1.398134428174734,1.504238911996434
30,1105.2,5937.200464865575,33078,1,0.48508367060432916,0.46191849095320153,0.5059204101485303,33156,1200.3717069625854,0.2891615167356226,0.8228724592156734,0.6295389,0.16710238,1.0,0.3611111,0.61507934,0.6388889,0.2579365,14066.183,5.020049412788889,0.3339712,-0.8544283,0.027923206,20872.992,0.4920635,0.75,0.65133893,228.13769702942585,5.4444546914328855,0.6322019855450267,0.0020834551120995034,0.045644880458814915,0.9363275988574973,4.296899505368561,2.121969436844498,2.000180926874705
1,30027.0,0.0,30027,30027,0.500944722666267,0.49983608502347887,0.45817565917269637,30027,656.6833263635635,0.8750035785830269,0.996482261938855,0.42590088,0.14138924,1.0,0.2029703,0.38613862,0.79702973,0.13366339,6046.911,4.542712639726157,1.2916604,1.5326905,0.019990917,12788.525,0.34158415,0.47524753,0.44875658,42.81934297381243,2.5727660285666407,0.6988414095811295,0.005923420054389382,0.07696375805786372,0.9834457715902465,4.7116595064442,1.8889257168822053,1.867491335840304
3,12476.0,17573.75010254404,37329,13,0.46312507952932036,0.5534103219012029,0.5711059570225356,37428,1090.0041748285294,0.3958677859643661,0.8194417076996291,0.56428885,0.13134238,1.0,0.37448558,0.5308642,0.6255144,0.15226337,12563.558,4.685446925849081,0.9821538,0.2921245,0.017250821,21120.203,0.4691358,0.62139916,0.5793727,36.92805366563581,2.436359583032579,0.6869723630795047,0.003957680803903133,0.06291010096878825,0.983450470778319,4.37378433258523,1.572333789859286,1.6616360445220197
2,18381.0,18380.0,36761,1,0.5084934186365986,0.5415335928361579,0.5609436035070657,36762,1013.9381597042084,0.44935135802179454,0.8940609951628469,0.5529341,0.14641365,1.0,0.3422222,0.52,0.6577778,0.18222222,12027.538,4.715486436625637,0.89080423,0.027936935,0.021436958,20326.965,0.44444445,0.62666667,0.5719905,51.51473637913892,2.854208726444081,0.6804513508159487,0.0038874889814762637,0.062349731206126816,0.9814162722477415,4.4483433980740985,1.7011854668514834,1.7593016181254013
